sentiment,aspek,Tweet
0,0,absen sekali langsung sakit semua wkwkw
0,0,aduuuh sakit sekali perutku
0,0,agak drama selama berangkat pulang perut kumat sakit dan mual berakhir ditolongin masinisnya sampai posisi nyaman pokoknya dan itu juga masih pandemi sekali pandemi sekali hamil swab keretaan blom vaksin ulala jadi adek selama di perut itu babymoon nya di kereta semoga-bjn yah dek
0,0,agak sakit tapi tidak apa apa karena walau sakit tetap ada kesembuhan di dalam tuhan
0,0,aish tidak bisa tidur seharian ini sudah banyak tidur mana punggung sakit begini perut juga ikutan sakit
0,0,akan lebih sulit lagi kondisinya jika di jalanan pasar dan tempat umum lainnya masih banyak warga kita yang abai pada protokol kesehatan apakah memang begini mental kita yang kurang disiplin ya
0,0,akhir ini merokok semakin kenceng pola pikir dulu ada uang beli bensin main sekarang malah beli rokok biar tidak main takut kesehatan rusak padahal sering mengingatkan kesehatanmu
0,0,akibatnya timbul sebuah cluster baru akibat promo tersebut virus bangsat yang belum bisa ditangani dan pemerintah berpikir  keras menekan angka dengan berbagai program pun menjadi sia-sia
0,0,asli pinggang sakit sekali begini umur seperempat abad kok kaya setengah abad sepertinya tidak sembuh dalam beberapa hari
0,0,asuransi penting sekali nder menurutkusoalnya saya juga merasakan sekali dimana tagihan rumah sakit mahal sekali apalagi biaya operasi sampai biaya rawat jalan
0,0,badan sakit semua begini itu bikin tidur jadi tidak nyenyak sih
0,0,badan sakit semua karena habis pelukan sama aspal
0,0,badan sudah pada sakit begini sampai koyo
0,0,bangun pagi mendadak badan meriang mau ajukan izin sakit tapi khawatir dikira bohong
0,0,bapak mertua masuk rumah sakit buat kemoterapi ya disuruh fokus merawat bapak dulu
0,0,beberapa hari ini tiap malam kepala bisa sakit tidak ketulungan
0,0,beberapa hari istirahat kurang enak badan jadi sakit semua
0,0,beberapa hari kemarin sakit kepala hebat ditambah menggigil karena husnudzon jadi minum analgesik dosis forte eh tidak konjat advice tambah pakai valium langsung aman enteng tapi menggigil nya masih
0,0,berasa semakin kesini kok semakin lemah weee cepat sakit cepat encok yawooh yawoooh
0,0,bismillah besok tidak sakit sudah mulai tidak enak badan saya gegara terlalu sibuk hari h lomba tinggal beberapa jam bahkan menit
0,0,buset ampe lupa rasa sakit giliran sakit sekali allahuakbar sekali rasanya benar sih kita itu tidak boleh berlebihan dalam hal apapun
0,0,capeknya kalau lagi sakit batuk jam segini tidak bisa tidur lagi gegara batuk ’
0,0,conterpain tidak lagi konjat saya butuh tukang pijaaat menahan sakit punggung berbulan bulan
0,0,covid di luar negeri semakin ganas saja bisa jadi awal tahun bakal menumpuk apabila masyarakat sudah abai protokol kesehatan
0,0,dada kok sakit sekali ya kalau menghirup napas dalam kenapa ya
0,0,dalam konteks jijik dan tidak higienis mari kita akui bahwa memang banyak sekali warteg yang kotor dan tidak higienis kalau menganggap hal itu remeh sih ya mungkin memang kamu tidak peduli sama kesehatan kamu sendiri
0,0,dan saya percaya kesehatan mental saat sakit hati itu hancur sekali apalagi buat kita yang orangnya suka sekali kerja jam istirahat kadang tidak bisa tidur larinya ke obat tidur yang menyerang organ dalam
0,0,dannn sakit gigi lagi
0,0,dari foto berikut ini sudah ketahuan sih tidak ada penerapan protokol kesehatan bisa dibayangkan bagaimana virus bakal mudah menyebar
0,0,dari kemarin sakit kepala migrain masa iya belum setahun sudah tambah saja ini minus
0,0,dari kemarin tulang belakang rasanya sakit pol semlm pas bapak di bawa ke rumah sakit tiba dada malah sesek pas sekali tidak ada orang di rumah gara ke rumah sakit semua sampai sekarang masih nyeri kalau buat apa
0,0,definisi izin sakit tapi masih kerja begini ya
0,0,demam sudah sembuh selang sehari gusi gigi bengkak ya allah menelan ludah saja sakit sekali huhu
0,0,desember sakit dan berat sekali ya
0,0,di kantor tadi b saja sampai rumah sebadan rasanya sakit smuanya ya ampun
0,0,di rumah sakit satu ruangan cuma di skat pakai gorden tetangga sebelah maybe pasangan baru nikah karena wajah nya terlihat muda sekali dan yang sakit itu istrinya mereka ngobrol mesra sekali bukan maksud nguping tapi ini jelas sekali suaranya
0,0,dia selalu bilang buat berobat dia bilang buat bayar rumah sakit ya husnudzon saja kalau dia memang sakit keras
0,0,dibuat jalan sakit apa saya harus dikasur terus
0,0,dokter ayahku post covid kena pneumonia usia tahun keatas apakah bisa setelah sehat di vaksin terlanjur sekali tidak ya
0,0,dulu tekanan darah diri tinggi terus sekarang rendah memang belum bisa hidup sehat
0,0,efek tadi jaga pagi tidak sarapan pas mau sarapan ada code blue tidak jadi sarapan alhasil makannya siang keluar tenaga banyak lah kok malah jadi sakit kepala senut
0,0,ehh makan apa saya beberapa hr ini perutku hari ini sakit seperti diare mules apa gegara mens juga
0,0,fisik mah sehat kalau psikis tidak sehat sekali
0,0,gara-gara kemarin kebanyakan makan micin tenggorokan aku jadi sakit sekali
0,0,gegara vaksin jadi syarat perjalanan bapak jadi ingin divaksin kan padahal punya riwayat sakit vaksin perkara biar bisa nengok cucunggg
0,0,gemas ya kalau sudah mengikuti anjuran eh ada keluarga yang abai jadi tertular dong yang tadinya sehat
0,0,geraham tumbuh terus sakit sampai pipi pengkak itu menyiksa sekali
0,0,gigiku kenapa kamu kambuh sih ya allah sakit gigi bukan termasuk gejala covid kan
0,0,gigiku sakit sekali mau ngapa seperti tidak mood
0,0,gila ya sakit perut
0,0,habis di vaksin badan malah sakit semua
0,0,haduh lagi sakit gigi
0,0,hal lucu hari ini saya sama kakak pulang dari rumah sakit nganterin ibu eh lihat di depannya ada tenda saya tanya sama kakak tendanya buat apa jawabnya cuma buat yang pakai bpjs segitu ngenesnya orang sakit yang pakai bpjs sekarang
0,0,hari ini magh kambuh sebentar sebentar butuh makan kalau telat sedikit langsung kemata sama kepala sakit hix
0,0,hari ini makan makanan tidak sehat
0,0,hatiku sakit ketika di grup para alumni covid muncul cari pendonor darah plasma yaallah maapkanlah kami sudahi pandemi ini
0,0,heran sakit dua mingguan lebih tapi berat badan stabil tetap saja saya lemu
0,0,hidung saya sakit sekali karena panasnya semarang tidak ngotak
0,0,hidup tidak sehat sekali sih kamu bas makan mie terus
0,0,ibarat nya mereka yang sakit kita yang disuruh minum obat ya sakit semuanya
0,0,ibu sakit overthinking aku menjadi
0,0,igd nya sepi loh tapi saya sudah disini dari jam setengah pagi dan sampai sekarang papa belum juga masuk ke bangsal padahal sudah dapat ruangannya sedari jam pagi apa begini cara kerja perawat yang daritadi bercanda ketawa ketiwi tambah nggosip diatas penderitaan orang sakit
0,0,indonesia ada yng kurang dari segi pendidikan dan kesehatan
0,0,ini bagaimana ini sakit sebadan badan
0,0,ini kayanya masalah nya di saya deh ya menerima kenyataan saya sakit saja sudah berat bagaimana kalau ternyata saya bermasalah saya tidak yakin bakal sanggup menerima
0,0,ini mahhh sariawan rasa sakit gigi
0,0,ini sakit apa sih takut
0,0,ini saya diam doang saja ingin menangis karena sakit sekali demi tuhannn
0,0,inilah satu penyebab penanganan covid yang tidak tepat urusan pandemi adalah ranah para epidemiolog dokter spesialis paru penyakit dalam menangani pasien yang masuk kerumah sakit
0,0,jadi stres segini pengaruhnya ke sakit kepala ya
0,0,jantungnya tidak sehat tapi malah tambah vitamin buat mata
